Account,Amount,Date,Merchant,Reference,spend category,type
Savings,20.76,4/24/2025,AMERICAN HEALTH,398,Groceries,CHECK
Savings,102.73,4/15/2025,WAL-SAMS,,Groceries,ATM
Savings,71.89,5/4/2025,SAMS CLUB CREDIT,,Groceries,BILL PAY
Savings,17.45,5/4/2025,AMERICAN HEALTH,399,Groceries,CHECK
Checking,51.16,5/2/2025,BJ WHOLESALE,,Groceries,ATM
Savings,39.17,4/17/2025,THE PLAIN DEALER,,Home,BILL PAY
Checking,149.44,5/5/2025,MAC BIRDS,,Home,ATM
Checking,88.28,4/24/2025,ROOT CANDLES,,Home,ATM
Checking,208.51,4/19/2025,NATIONWIDE LIFE,,Insurance,BILL PAY
Checking,137.78,5/5/2025,STATE FARM INSURA,,Insurance,BILL PAY
Savings,38.43,4/20/2025,CONNECTICUT GENER,,Insurance,BILL PAY
Checking,15.4,4/21/2025,CHECK # 319,319,Misc,CHECK
Checking,73,4/20/2025,FLEET BANK MC/VISA,,Misc,BILL PAY
Checking,50,4/24/2025,CHECK # 313,313,Misc,CHECK
Checking,13.75,4/30/2025,CHECK # 385,385,Misc,CHECK
Checking,100,4/23/2025,KEYBANK MC/VISA,,Misc,BILL PAY
Checking,83.91,4/26/2025,CHECK # 392,392,Misc,CHECK
Checking,500,5/10/2025,CHECK # 373,373,Misc,CHECK
Checking,690.75,4/26/2025,CHECK # 383,383,Misc,CHECK
Checking,25,5/7/2025,CHECK # 391,391,Misc,CHECK
Checking,5.9,4/28/2025,CHECK # 366,366,Misc,CHECK
Checking,42.08,4/21/2025,CHECK # 393,393,Misc,CHECK
Checking,46.32,5/1/2025,SBC AMERITECH,,Phone,BILL PAY
Checking,139.79,4/27/2025,SPRINT PCS,,Phone,BILL PAY
Savings,70.07,4/12/2025,DIVISION OF WATER,,Water,BILL PAY
Credit,87.92,4/12/2025,7-ELEVEN,,Misc,CREDIT
Credit,233.78,4/23/2025,AMAZON,,Discretionary,CREDIT
Credit,67.43,4/24/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,138.88,5/1/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,26.1,5/2/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,103.01,4/23/2025,BEST BUY,,Entertainment,CREDIT
Credit,187,4/29/2025,BEST BUY,,Entertainment,CREDIT
Credit,147.4,4/28/2025,BOB'S BAR AND GRILL,,Restaurant,CREDIT
Credit,87.43,5/9/2025,BURGER KING,,Restaurant,CREDIT
Credit,812.35,5/8/2025,DIRECTV,,Entertainment,CREDIT
Credit,16.08,5/7/2025,DISH NETWORK,,Entertainment,CREDIT
Credit,26.43,5/3/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,34.51,4/22/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,169.53,5/3/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,15.22,4/22/2025,JACK-IN-THE-BOX,,Restaurant,CREDIT
Credit,152.45,5/8/2025,JIFFY LUBE,,Automobile,CREDIT
Credit,74.32,5/7/2025,KFC,,Restaurant,CREDIT
Credit,243.98,4/22/2025,MACY'S,,Clothing and Personal,CREDIT
Credit,90.22,5/6/2025,NIKESTORE,,Clothing and Personal,CREDIT
Credit,187.5,5/4/2025,SEARS,,Misc,CREDIT
Credit,56.78,4/18/2025,SHELL OIL,,Automobile,CREDIT
Credit,59.21,4/19/2025,SHELL OIL,,Automobile,CREDIT
Credit,11.65,4/15/2025,TACO BELL,,Restaurant,CREDIT
Credit,25.05,4/13/2025,TGI FRIDAYS,,Restaurant,CREDIT
Credit,63.13,4/25/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,598.32,4/13/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,28.34,5/9/2025,VICTORIA'S SECRET,,Clothing and Personal,CREDIT
Checking,586.12,3/29/2025,VOLVO FINANCE,,Automobile,BILL PAY
Checking,411.28,3/22/2025,AMERICAN HONDA,,Automobile,BILL PAY
Checking,15.06,3/29/2025,KWIK CAR WASH,,Automobile,ATM
Checking,114.62,4/6/2025,DEPT MOTOR VEHICL,376,Automobile,CHECK
Checking,250,3/22/2025,TARGET,,Clothing and Personal,BILL PAY
Savings,19.42,4/2/2025,CHECK 377,377,Clothing and Personal,CHECK
Savings,500,3/28/2025,TARGET,,Clothing and Personal,ATM
Checking,12.41,3/13/2025,PANERA BREAD,,Restaurant,ATM
Checking,43.64,3/19/2025,SHOOTERS,,Restaurant,ATM
Checking,9.58,3/29/2025,EINSTEIN BAGEL,,Restaurant,ATM
Savings,24.95,3/18/2025,SANTOS PIZZA,,Restaurant,ATM
Checking,12.05,4/11/2025,MOOTOWN CREAMERY,,Restaurant,ATM
Savings,12.88,4/9/2025,PANERA BREAD,,Restaurant,ATM
Checking,22.66,4/5/2025,PARTY CITY,,Restaurant,ATM
Checking,50.01,4/2/2025,DON PABLOS,,Restaurant,ATM
Savings,43.75,3/22/2025,WINKING LIZARD,,Restaurant,ATM
Checking,48.38,4/6/2025,SANTOS PIZZA,,Restaurant,ATM
Savings,129.84,4/10/2025,ILLUMINATING ELEC,,Electric,BILL PAY
Savings,61,3/18/2025,CAVS GUND ARENA,,Entertainment,ATM
Savings,26.75,3/29/2025,CINEMARK MOVIES,,Entertainment,ATM
Checking,37,3/20/2025,CLEVELAND LIVE,,Entertainment,ATM
Savings,15.12,3/31/2025,BOTANICAL GA,,Entertainment,ATM
Checking,24.99,4/1/2025,BORDERS BOOKS,,Entertainment,ATM
Checking,4,3/24/2025,PIN PURCHASE FEE,,Fees,FEES
Checking,8.5,4/9/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,4,4/6/2025,PIN PURCHASE FEE,,Fees,FEES
Savings,8.5,4/8/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,25.16,4/7/2025,BP OIL,,Automobile,ATM
Savings,30.8,3/24/2025,COLUMBIA GAS,,Automobile,ATM
Savings,27.27,4/7/2025,SPEEDWAY,,Automobile,ATM
Checking,28.53,3/25/2025,SHELL OIL,,Automobile,ATM
Savings,29.71,3/30/2025,MAC GAS,,Automobile,ATM
Savings,33.22,3/13/2025,SHELL OIL,,Automobile,ATM
Savings,34.23,3/28/2025,SPEEDWAY,,Automobile,ATM
Savings,58.22,3/27/2025,BJ'S WHOLESALE,,Groceries,ATM
Savings,20.76,3/30/2025,AMERICAN HEALTH,398,Groceries,CHECK
Savings,102.73,3/23/2025,WAL-SAMS,,Groceries,ATM
Savings,71.89,3/31/2025,SAMS CLUB CREDIT,,Groceries,BILL PAY
Savings,17.45,3/27/2025,AMERICAN HEALTH,399,Groceries,CHECK
Checking,51.16,3/12/2025,BJ WHOLESALE,,Groceries,ATM
Savings,339.17,3/17/2025,THE PLAIN DEALER,,Home,BILL PAY
Checking,49.44,3/22/2025,MAC BIRDS,,Home,ATM
Checking,88.28,3/27/2025,ROOT CANDLES,,Home,ATM
Checking,208.51,3/16/2025,NATIONWIDE LIFE,,Insurance,BILL PAY
Checking,137.78,3/13/2025,STATE FARM INSURA,,Insurance,BILL PAY
Savings,38.43,3/17/2025,CONNECTICUT GENER,,Insurance,BILL PAY
Checking,15.4,3/24/2025,CHECK # 319,319,Misc,CHECK
Checking,73,3/24/2025,FLEET BANK MC/VISA,,Misc,BILL PAY
Checking,50,4/7/2025,CHECK # 313,313,Misc,CHECK
Checking,13.75,3/31/2025,CHECK # 385,385,Misc,CHECK
Checking,100,3/28/2025,KEYBANK MC/VISA,,Misc,BILL PAY
Checking,83.91,4/11/2025,CHECK # 392,392,Misc,CHECK
Checking,500,4/9/2025,CHECK # 373,373,Misc,CHECK
Checking,690.75,4/10/2025,CHECK # 383,383,Misc,CHECK
Checking,25,4/11/2025,CHECK # 391,391,Misc,CHECK
Checking,5.9,3/13/2025,CHECK # 366,366,Misc,CHECK
Checking,42.08,3/21/2025,CHECK # 393,393,Misc,CHECK
Checking,146.32,4/9/2025,SBC AMERITECH,,Phone,BILL PAY
Checking,239.79,4/9/2025,SPRINT PCS,,Phone,BILL PAY
Savings,70.07,4/9/2025,DIVISION OF WATER,,Water,BILL PAY
Credit,87.92,3/27/2025,7-ELEVEN,,Misc,CREDIT
Credit,383.96,3/20/2025,AMAZON,,Discretionary,CREDIT
Credit,67.43,3/22/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,138.88,4/10/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,26.1,3/16/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,103.01,3/23/2025,BEST BUY,,Entertainment,CREDIT
Credit,187,4/5/2025,BEST BUY,,Entertainment,CREDIT
Credit,147.4,3/15/2025,BOB'S BAR AND GRILL,,Restaurant,CREDIT
Credit,87.43,3/12/2025,BURGER KING,,Restaurant,CREDIT
Credit,812.35,3/25/2025,DIRECTV,,Entertainment,CREDIT
Credit,16.08,3/28/2025,DISH NETWORK,,Entertainment,CREDIT
Credit,26.43,4/4/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,34.51,3/12/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,169.53,3/19/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,15.22,3/24/2025,JACK-IN-THE-BOX,,Restaurant,CREDIT
Credit,152.45,3/20/2025,JIFFY LUBE,,Automobile,CREDIT
Credit,74.32,3/24/2025,KFC,,Restaurant,CREDIT
Credit,243.98,3/17/2025,MACY'S,,Clothing and Personal,CREDIT
Credit,90.22,4/11/2025,NIKESTORE,,Clothing and Personal,CREDIT
Credit,187.5,4/3/2025,SEARS,,Misc,CREDIT
Credit,56.78,3/21/2025,SHELL OIL,,Automobile,CREDIT
Credit,59.21,3/29/2025,SHELL OIL,,Automobile,CREDIT
Credit,17.89,4/11/2025,TACO BELL,,Restaurant,CREDIT
Credit,25.05,4/7/2025,TGI FRIDAYS,,Restaurant,CREDIT
Credit,63.13,3/24/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,598.32,3/28/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,28.34,4/8/2025,VICTORIA'S SECRET,,Clothing and Personal,CREDIT
